Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Саратовская область,Марксовский район,Село,Яблоня,"Саратовская обл., Марксовский район, с. Яблоня, ул. Центральная, 12/1","51.571873","47.750335",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Аряш,"Саратовская обл., Новобурасский район, с. Аряш, ул. Советская, 69а/1","51.917249","46.160344",ФАП,./0.png
Саратовская область,Марксовский район,Село,Раскатово,"Саратовская обл., Марксовский район, с. Раскатово, ул. Октябрьская, 86","51.508215","46.632481",ФАП,./0.png
Саратовская область,Марксовский район,Село,Семеновка,"Саратовская обл., Марксовский район, с. Семеновка, ул. Рабочая, 4/2","51.76753","47.341638",ФАП,./0.png
Саратовская область,Новобурасский район,Поселок,Динамовский,"Саратовская обл., Новобурасский район, п. Динамовский, ул. Мирная, 9А","52.358897","46.097785",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Елшанка,"Саратовская обл., Новобурасский район, с. Елшанка, ул. Кооперативная, 1, корп. 2","52.065249","46.027106",ФАП,./0.png
Саратовская область,Новобурасский район,Поселок,Бурасы,"Саратовская обл., Новобурасский район, п. Бурасы, ул. Привокзальная, 34А/2","52.208708","46.125903",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Гремячка,"Саратовская обл., Новобурасский район, с. Гремячка, ул. Колхозная, 10а, пом. 2","52.09444","45.734174",ФАП,./0.png
Саратовская область,Красноармейский район,Село,Старая Топовка,"Саратовская обл., Красноармейский район, с. Старая Топовка, ул. Молодежная, 11","50.974102","45.31437",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Интернациональное,"Саратовская обл., Краснокутский район, с. Интернациональное, ул. Школьная, 14","51.086919","46.722708",ФАП,./0.png
Саратовская область,Красноармейский район,Село,Садовое,"Саратовская обл., Красноармейский район, с. Садовое, ул. Советская, 18/2","51.038712","45.859137",ФАП,./0.png
Саратовская область,Красноармейский район,Село,Сплавнуха,"Саратовская обл., Красноармейский район, с. Сплавнуха, ул. Советская, 28","51.070588","45.376697",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Комсомольское,"Саратовская обл., Краснокутский район, с. Комсомольское, ул. имени Ленина, д.43 помещение 1","50.780923","47.035303",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Лебедевка,"Саратовская обл., Краснокутский район, с. Лебедевка, ул. Центральная, д.40 помещение 1","51.075839","47.14169",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Карпенка,"Саратовская обл., Краснокутский район, с. Карпенка, ул. Школьная, 36","51.103953","47.26872",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Кирово,"Саратовская обл., Краснокутский район, с. Кирово, пер. Заречный, 16","50.804199","46.700027",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Первомайское,"Саратовская обл., Краснокутский район, с. Первомайское, ул. Зеленая, д.10а помещение№2","50.929548","46.763306",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Рекорд,"Саратовская обл., Краснокутский район, с. Рекорд, ул. Центральная, 45","50.961103","46.66563",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Лепехинка,"Саратовская обл., Краснокутский район, с. Лепехинка, ул. Центральная, д.20 помещение 2","50.651583","46.923208",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Логиновка,"Саратовская обл., Краснокутский район, с. Логиновка, ул. Новая, 7","50.997323","47.078862",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Чкалово,"Саратовская обл., Краснокутский район, с. Чкалово, ул. Рабочая, д.4А, помещение  1","50.728904","47.051589",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Ямское,"Саратовская обл., Краснокутский район, с. Ямское, ул. Молодежная, 4/2","50.969481","47.235096",ФАП,./0.png
Саратовская область,Краснокутский район,Поселок,Семенной,"Саратовская обл., Краснокутский район, п. Семенной, ул. Новая, 3/1","50.917331","47.058102",ФАП,./0.png
Саратовская область,Краснокутский район,Село,Усатово,"Саратовская обл., Краснокутский район, с. Усатово, ул. Центральная, д.10 помещение А","50.78444","46.90092",ФАП,./0.png
Саратовская область,Краснопартизанский район,Поселок,Петровский,"Саратовская обл., Краснопартизанский район, п. Петровский, ул. Центральная, 32","51.817544","48.7406",ФАП,./0.png
Саратовская область,Краснопартизанский район,Поселок,Римско-Корсаковка,"Саратовская обл., Краснопартизанский район, п. Римско-Корсаковка, ул. Строительная, 4","51.573868","48.540873",ФАП,./0.png
Саратовская область,Краснопартизанский район,Село,Головинщено,"Саратовская обл., Краснопартизанский район, с. Головинщено, ул. Кутузова, 1","51.529528","48.724447",ФАП,./0.png
Саратовская область,Краснопартизанский район,Село,Милорадовка,"Саратовская обл., Краснопартизанский район, с. Милорадовка, ул. Чапаевская, 38","51.622141","48.774502",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Атаевка,"Саратовская обл., Лысогорский район, с. Атаевка, ул. Школьная, 15","51.295467","44.836308",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Большая Каменка,"Саратовская обл., Лысогорский район, с. Большая Каменка, ул. Дружбы, 25/1","51.3256","45.185888",ФАП,./0.png
Саратовская область,Краснопартизанский район,Село,Сулак,"Саратовская обл., Краснопартизанский район, с. Сулак, ул. Советская, 87","51.843389","48.347039",ФАП,./0.png
Саратовская область,Лысогорский район,Деревня,Александровка 2-я,"Саратовская обл., Лысогорский район, д. Александровка 2-я, ул. Дорожная, 21","51.592827","44.621683",ФАП,./0.png
Саратовская область,Лысогорский район,Поселок,Гремячий,"Саратовская обл., Лысогорский район, п. Гремячий, пл. Мира, 7","51.47542","45.207986",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Двоенка,"Саратовская обл., Лысогорский район, с. Двоенка, ул. Новая, 18/1","51.386733","45.298563",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Большая Рельня,"Саратовская обл., Лысогорский район, с. Большая Рельня, ул. Ленинская, 136","51.596973","44.747258",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Бутырки,"Саратовская обл., Лысогорский район, с. Бутырки, ул. Молодежная, 11","51.517351","44.814713",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Липовка,"Саратовская обл., Лысогорский район, с. Липовка, ул. Центральная, 15/1","52.435675","46.191713",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Невежкино,"Саратовская обл., Лысогорский район, с. Невежкино, ул. Центральная, 10","51.222728","44.944771",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Золотая Гора,"Саратовская обл., Лысогорский район, с. Золотая Гора, ул. Центральная, 7","51.390751","45.408284",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Ключи,"Саратовская обл., Лысогорский район, с. Ключи, ул. Энтузиастов, 2/1","51.435893","45.194404",ФАП,./0.png
Саратовская область,Перелюбский район,Село,Иваниха,"Саратовская обл., Перелюбский район, с. Иваниха, ул. Советская, 2/1","51.914055","50.521476",ФАП,./0.png
Саратовская область,Перелюбский район,Село,Калинин,"Саратовская обл., Перелюбский район, с. Калинин, ул. Рабочая, 1А","51.706195","49.813101",ФАП,./0.png
Саратовская область,Озинский район,Село,Старые Озинки,"Саратовская обл., Озинский район, с. Старые Озинки, ул. Набережная, 51","51.178601","49.677222",ФАП,./0.png
Саратовская область,Перелюбский район,Село,Грачев Куст,"Саратовская обл., Перелюбский район, с. Грачев Куст, ул. Центральная, 2А","51.994108","49.81885",ФАП,./0.png
Саратовская область,Перелюбский район,Село,Нижняя Покровка,"Саратовская обл., Перелюбский район, с. Нижняя Покровка, ул. Чапаева, 18А","51.668037","50.112312",ФАП,./0.png
Саратовская область,Перелюбский район,Поселок,Октябрьский,"Саратовская обл., Перелюбский район, п. Октябрьский, ул. Молодежная, 28","51.893067","50.075732",ФАП,./0.png
Саратовская область,Перелюбский район,Поселок,Молодежный,"Саратовская обл., Перелюбский район, п. Молодежный, ул. Чапаева, 13","51.948968","49.5358",ФАП,./0.png
Саратовская область,Перелюбский район,Село,Натальин Яр,"Саратовская обл., Перелюбский район, с. Натальин Яр, пер. Первомайский, 1/1","51.775572","50.577836",ФАП,./0.png
Саратовская область,Перелюбский район,Хутор,Тараховка,"Саратовская обл., Перелюбский район, х. Тараховка, ул. Административная, 1","51.736921","50.748319",ФАП,./0.png
Саратовская область,Перелюбский район,Поселок,Тепловский,"Саратовская обл., Перелюбский район, п. Тепловский, ул. Школьная, 6а","52.108596","49.842332",ФАП,./0.png
Саратовская область,Перелюбский район,Поселок,Пригорки,"Саратовская обл., Перелюбский район, п. Пригорки, ул. Школьная, 2","52.069972","50.088362",ФАП,./0.png
Саратовская область,Перелюбский район,Село,Смородинка,"Саратовская обл., Перелюбский район, с. Смородинка, ул. Центральная, 29/1","51.979571","49.932271",ФАП,./0.png
Саратовская область,Петровский район,Деревня,Абодим,"Саратовская обл., Петровский район, д. Абодим, ул. Центральная, 22","52.301171","45.201",ФАП,./0.png
Саратовская область,Петровский район,Село,Асметовка,"Саратовская обл., Петровский район, с. Асметовка, ул. Большевик, 5/2","52.336523","44.929051",ФАП,./0.png
Саратовская область,Перелюбский район,Село,Холманка,"Саратовская обл., Перелюбский район, с. Холманка, ул. Советская, 52","51.660736","50.43204",ФАП,./0.png
Саратовская область,Перелюбский район,Поселок,Целинный,"Саратовская обл., Перелюбский район, п. Целинный, пер. Школьный, 3","51.66659","50.179083",ФАП,./0.png
Саратовская область,Петровский район,Село,Кожевино,"Саратовская обл., Петровский район, с. Кожевино, ул. Демина, 30","52.184138","45.163995",ФАП,./0.png
Саратовская область,Петровский район,Село,Новодубровка,"Саратовская обл., Петровский район, с. Новодубровка, ул. Молодежная, 26","52.397889","45.488352",ФАП,./0.png
Саратовская область,Петровский район,Село,Вязьмино,"Саратовская обл., Петровский район, с. Вязьмино, ул. Центральная, 47","52.280108","45.664713",ФАП,./0.png
Саратовская область,Петровский район,Село,Грачевка,"Саратовская обл., Петровский район, с. Грачевка, ул. Мира, 50а","52.354151","45.25502",ФАП,./0.png
Саратовская область,Петровский район,Поселок,Пригородный,"Саратовская обл., Петровский район, п. Пригородный, ул. Светличная, 1","52.277944","45.422704",ФАП,./0.png
Саратовская область,Петровский район,Село,Савкино,"Саратовская обл., Петровский район, с. Савкино, ул. Луговая, 16/2","52.436519","45.684457",ФАП,./0.png
Саратовская область,Петровский район,Село,Ножкино,"Саратовская обл., Петровский район, с. Ножкино, ул. Советская, 39","52.377263","45.616516",ФАП,./0.png
Саратовская область,Петровский район,Село,Оркино,"Саратовская обл., Петровский район, с. Оркино, ул. Новошкольная, 32А","52.048866","45.573154",ФАП,./0.png
Саратовская область,Петровский район,Село,Таволожка,"Саратовская обл., Петровский район, с. Таволожка, ул. Центральная, 28","52.191062","45.690443",ФАП,./0.png
Саратовская область,Петровский район,Село,Татарская Пакаевка,"Саратовская обл., Петровский район, с. Татарская Пакаевка, ул. Вишневая, 8/1","52.432308","45.731117",ФАП,./0.png
Саратовская область,Петровский район,Село,Сосновоборское,"Саратовская обл., Петровский район, с. Сосновоборское, ул. Центральная, 126б","52.272926","45.19907",ФАП,./0.png
Саратовская область,Петровский район,Поселок,Студеный,"Саратовская обл., Петровский район, п. Студеный, пл. Памяти, 4","52.099788","45.088633",ФАП,./0.png
Саратовская область,Питерский район,Село,Козловка,"Саратовская обл., Питерский район, с. Козловка, ул. Советская, 32/2","50.861733","47.57715",ФАП,./0.png
Саратовская область,Питерский район,Поселок,Нариманово,"Саратовская обл., Питерский район, п. Нариманово, ул. Центральная, 20/1","50.6137","47.459347",ФАП,./0.png
Саратовская область,Питерский район,Село,Агафоновка,"Саратовская обл., Питерский район, с. Агафоновка, ул. Колхозная, 52/1","50.604068","47.438074",ФАП,./0.png
Саратовская область,Питерский район,Село,Запрудное,"Саратовская обл., Питерский район, с. Запрудное, ул. Советская, 4","50.546854","47.167012",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Лох,"Саратовская обл., Новобурасский район, с. Лох, ул. Загороднева, 42/2","52.133723","45.852024",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Малые Озерки,"Саратовская обл., Новобурасский район, с. Малые Озерки, ул. Шарковых, 48","52.289092","45.841775",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Ириновка,"Саратовская обл., Новобурасский район, с. Ириновка, ул. Первомайская, зд. 12А, пом. 2","52.001012","46.239513",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Леляевка,"Саратовская обл., Новобурасский район, с. Леляевка, ул. Юбилейная, 45А","52.393022","45.886026",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Новоалексеевка,"Саратовская обл., Новобурасский район, с. Новоалексеевка, ул. Центральная, 41/1","51.961445","46.346179",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Чернышевка,"Саратовская обл., Новобурасский район, с. Чернышевка, ул. Чернышевского, 36Б/2","51.96756","46.080448",ФАП,./0.png
Саратовская область,Новобурасский район,Село,Марьино-Лашмино,"Саратовская обл., Новобурасский район, с. Марьино-Лашмино, ул. Колхозная, 5","52.018402","45.929199",ФАП,./0.png
Саратовская область,Новобурасский район,Поселок,Медведицкий,"Саратовская обл., Новобурасский район, п. Медведицкий, ул. Молодежная, 20, пом. 1","52.261116","46.089763",ФАП,./0.png
Саратовская область,Новоузенский район,Поселок,Дюрский,"Саратовская обл., Новоузенский район, п. Дюрский, ул. Комсомольская, 1","50.665212","48.568126",ФАП,./0.png
Саратовская область,Новоузенский район,Село,Киевка,"Саратовская обл., Новоузенский район, с. Киевка, ул. Центральная, 24","50.777007","48.445411",ФАП,./0.png
Саратовская область,Новоузенский район,Поселок,Алгайский,"Саратовская обл., Новоузенский район, п. Алгайский, ул. Ленина, 7","50.41211","48.14588",ФАП,./0.png
Саратовская область,Новоузенский район,Село,Бессоновка,"Саратовская обл., Новоузенский район, с. Бессоновка, ул. Пушкина, строение 13","50.777727","48.255626",ФАП,./0.png
Саратовская область,Новоузенский район,Село,Петропавловка,"Саратовская обл., Новоузенский район, с. Петропавловка, ул. Рабочая, 22","50.254519","47.923557",ФАП,./0.png
Саратовская область,Новоузенский район,Село,Пограничное,"Саратовская обл., Новоузенский район, с. Пограничное, ул. 60 лет СССР, 44А/1","50.529884","48.640077",ФАП,./0.png
Саратовская область,Новоузенский район,Поселок,Мирный,"Саратовская обл., Новоузенский район, п. Мирный, ул. Центральная, 15/1","50.352478","48.117478",ФАП,./0.png
Саратовская область,Новоузенский район,Село,Олоновка,"Саратовская обл., Новоузенский район, с. Олоновка, ул. Первомайская, 20а 1","50.721398","48.401037",ФАП,./0.png
Саратовская область,Новоузенский район,Поселок,Чертанла,"Саратовская обл., Новоузенский район, п. Чертанла, ул. Центральная, 17/1","50.589616","48.235271",ФАП,./0.png
Саратовская область,Озинский район,Село,Балаши,"Саратовская обл., Озинский район, с. Балаши, ул. Целинная, 5а","51.407919","49.918839",ФАП,./0.png
Саратовская область,Новоузенский район,Поселок,Радищево,"Саратовская обл., Новоузенский район, п. Радищево, ул. Центральная, сооружение 1Б","50.466751","48.07981",ФАП,./0.png
Саратовская область,Новоузенский район,Поселок,Степной,"Саратовская обл., Новоузенский район, п. Степной, ул. Молодежная, сооружение 5/1","50.462152","47.870393",ФАП,./0.png
Саратовская область,Озинский район,Поселок,Модин,"Саратовская обл., Озинский район, п. Модин, ул. Восточная, 1","51.172124","49.404349",ФАП,./0.png
Саратовская область,Озинский район,Поселок,Непряхин,"Саратовская обл., Озинский район, п. Непряхин, ул. Советская, 29","51.274023","49.735147",ФАП,./0.png
Саратовская область,Озинский район,Поселок,Белоглинный,"Саратовская обл., Озинский район, п. Белоглинный, ул. Урожайная, 30","51.424801","50.072733",ФАП,./0.png
Саратовская область,Озинский район,Поселок,Липовский,"Саратовская обл., Озинский район, п. Липовский, ул. Набережная, 1а","51.384835","49.519428",ФАП,./0.png
Саратовская область,Озинский район,Поселок,Первоцелинный,"Саратовская обл., Озинский район, п. Первоцелинный, ул. Гагарина, 21","51.625374","49.814332",ФАП,./0.png
Саратовская область,Озинский район,Село,Пигари,"Саратовская обл., Озинский район, с. Пигари, ул. Октябрьская, 1","51.424382","49.687979",ФАП,./0.png
Саратовская область,Озинский район,Поселок,Новозаволжский,"Саратовская обл., Озинский район, п. Новозаволжский, ул. Школьная, 10","51.527312","50.29871",ФАП,./0.png
Саратовская область,Озинский район,Село,Новочерниговка,"Саратовская обл., Озинский район, с. Новочерниговка, ул. Интернациональная, 2а","51.609128","49.963571",ФАП,./0.png
Саратовская область,Озинский район,Поселок,Сланцевый Рудник,"Саратовская обл., Озинский район, п. Сланцевый Рудник, 1, кв. 15","51.170477","49.638707",ФАП,./0.png
Саратовская область,Озинский район,Село,Солянка,"Саратовская обл., Озинский район, с. Солянка, ул. Гагарина, 35","51.492234","50.090292",ФАП,./0.png
Саратовская область,Озинский район,Село,Самовольное,"Саратовская обл., Озинский район, с. Самовольное, ул. Советская, 1","51.396332","49.392162",ФАП,./0.png
Саратовская область,Озинский район,Поселок,Синегорский,"Саратовская обл., Озинский район, п. Синегорский, ул. Новая, 2б","51.324239","49.910861",ФАП,./0.png
Саратовская область,Романовский район,Село,Малое Щербедино,"Саратовская обл., Романовский район, с. Малое Щербедино, ул. Маринова, 93","52.001005","42.833771",ФАП,./0.png
Саратовская область,Романовский район,Село,Мордовский Карай,"Саратовская обл., Романовский район, с. Мордовский Карай, ул. Ленина, 136","51.812995","42.87788",ФАП,./0.png
