Кратк,Вид,Широт,Долго,Назва,Регио,Округ,icon_url
"ЧУЗ ""РЖД-МЕДИЦИНА"" Г. РТИЩЕВО""",Больница (в том числе детская),"52.24698","43.76745",Ртищево,Саратовская область,Приволжский федеральный округ,./0.png
ГАУ СО «Хвалынский дом-интернат для престарелых и инвалидов»,Больница (в том числе детская),"52.491566","48.11389",Хвалынск,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУ СО «Шиханский дом-интернат для граждан, имеющих психические расстройства»",Госпиталь,"52.1122","47.18984",Шиханы,Саратовская область,Приволжский федеральный округ,./0.png
ГАУ СО «Сосновский психоневрологический интернат»,"Медико-санитарная часть, в том числе центральная","51.45068","45.536213",Сосновка,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУ СО ""Алексеевский дом - интернат для престарелых и инвалидов""","Медико-санитарная часть, в том числе центральная","52.293484","48.013477",Алексеевка,Саратовская область,Приволжский федеральный округ,./0.png
ГАУ СО «СДИПИ»,"Медико-санитарная часть, в том числе центральная","51.533104","46.034157",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГБУ СО ""КРАСАВСКИЙ ДОМ - ИНТЕРНАТ""","Медико-санитарная часть, в том числе центральная","51.166904","43.416862",Красавка,Саратовская область,Приволжский федеральный округ,./0.png
"ГБУ СО "" ВЯЗОВСКИЙ ПНИ""","Медико-санитарная часть, в том числе центральная","52.15842","46.708714",Вязовка,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУ САРАТОВСКОЙ ОБЛАСТИ ""БАЛАШОВСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ""","Медико-санитарная часть, в том числе центральная","51.529964","43.133747",Балашов,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУ СО ""БАЛАКОВСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ""","Медико-санитарная часть, в том числе центральная","52.003174","47.83539",Балаково,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУ СО ""НОВОУЗЕНСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ""","Медико-санитарная часть, в том числе центральная","50.467136","48.132828",Новоузенск,Саратовская область,Приволжский федеральный округ,./0.png
ГАУ СО «Аткарский дом-интернат для престарелых и инвалидов»,"Медико-санитарная часть, в том числе центральная","51.83641","45.020535",Аткарск,Саратовская область,Приволжский федеральный округ,./0.png
"ГБУ СО ""Б-К ДДИ ДЛЯ УОД""","Медико-санитарная часть, в том числе центральная","52.264706","46.431538",Базарный Карабулак,Саратовская область,Приволжский федеральный округ,./0.png
ГАУ СО «Михайловский ПНИ»,"Медико-санитарная часть, в том числе центральная","51.79302","48.580486",Михайловский,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУ СО ""СТДИПИ""","Медико-санитарная часть, в том числе центральная","52.55571","46.543304",Столыпино,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУ СО ""ХВАТОВСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТЬАРЕЛЫХ И ИНВАЛИДОВ""","Медико-санитарная часть, в том числе центральная","52.342686","46.557545",Хватовка,Саратовская область,Приволжский федеральный округ,./0.png
ГАУ СО КЦСОН ДЕРГАЧЕВСКОГО РАЙОНА,"Медико-санитарная часть, в том числе центральная","51.24955","48.800404",Дергачи,Саратовская область,Приволжский федеральный округ,./0.png
ГАУ СО «Лысогорский психоневрологический интернат»,"Медико-санитарная часть, в том числе центральная","51.530964","44.811615",Лысые Горы,Саратовская область,Приволжский федеральный округ,./0.png
ГАУ СО «Озерный ПНИ»,"Медико-санитарная часть, в том числе центральная","51.533104","46.034157",Озерное,Саратовская область,Приволжский федеральный округ,./0.png
ФКУЗ «МСЧ МВД России по Саратовской области»,"Медико-санитарная часть, в том числе центральная","51.53902","46.013668",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
ЧУЗ «КБ «РЖД-Медицина» г.Саратов» (Поликлиника №3),Больница (в том числе детская),"51.4106","46.06982",Приволжский,Саратовская область,Приволжский федеральный округ,./0.png
ЧУЗ «КБ «РЖД-Медицина» г.Саратов» (Поликлиника №4),Больница (в том числе детская),"52.154736","46.96094",Сенной,Саратовская область,Приволжский федеральный округ,./0.png
ЧУЗ «КБ «РЖД-Медицина» г.Саратов» (Поликлиника №5),Больница (в том числе детская),"51.88265","44.99717",Аткарск,Саратовская область,Приволжский федеральный округ,./0.png
ООО «Дива»,"Амбулатория, в том числе врачебная","51.53066","46.02055",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
