X,Y,Field1,Field2,Field3,Field4,Field5,Field6,насел,icon_url
143.192575951,52.3613779470001,"122438",село Чайво,Сахалинская область,городской округ Ногликский,"143.192575951000094","52.361377947000051","10",./0.png
141.659798984,52.226164139,"122439",посёлок Погиби,Сахалинская область,городской округ Охинский,"141.659798984000076","52.226164139000048","4",./0.png
142.040577329,52.2756603280001,"122440",поселок Вагис,Сахалинская область,городской округ Охинский,"142.040577329000030","52.275660328000072","1",./0.png
143.084627185,52.0431591610001,"122441",село Горячие Ключи,Сахалинская область,городской округ Ногликский,"143.084627185000045","52.043159161000062","10",./0.png
145.641998302,43.9891150720001,"122442",посёлок Третьяково,Сахалинская область,Южно-Курильский городской округ,"145.641998302000047","43.989115072000061","22",./0.png
145.693766757,43.971634619,"122443",село Менделеево,Сахалинская область,Южно-Курильский городской округ,"145.693766757000049","43.971634619000042","22",./0.png
145.501736741,43.7651028880001,"122444",село Дубовое,Сахалинская область,Южно-Курильский городской округ,"145.501736741000059","43.765102888000058","112",./0.png
146.751918097,43.828536795,"122445",село Крабозаводское,Сахалинская область,Южно-Курильский городской округ,"146.751918097000043","43.828536795000048","973",./2.png
147.887608668,45.2536898120001,"122446",поселок Китовый,Сахалинская область,Курильский городской округ,"147.887608668000098","45.253689812000061","700",./2.png
147.89866473,45.2171333140001,"122447",поселок Рыборазводный Завод Курильский,Сахалинская область,Курильский городской округ,"147.898664730000064","45.217133314000080","4",./0.png
147.875509397,45.2282901450001,"122448",город Курильск,Сахалинская область,Курильский городской округ,"147.875509397000087","45.228290145000074","1519",./1.png
147.757875297,45.034411984,"122449",село Горячие Ключи,Сахалинская область,Курильский городской округ,"147.757875297000055","45.034411984000030","2025",./1.png
147.564695874,44.928594365,"122450",село Горное,Сахалинская область,Курильский городской округ,"147.564695874000108","44.928594365000038","1757",./1.png
147.600169474,44.9246930560001,"122451",село Шуми-Городок,Сахалинская область,Курильский городской округ,"147.600169474000040","44.924693056000081","40",./0.png
145.781028035,44.0560160310001,"122452",посёлок Лагунное,Сахалинская область,Южно-Курильский городской округ,"145.781028035000077","44.056016031000070","400",./2.png
145.864981514,44.069309586,"122453",село Отрада,Сахалинская область,Южно-Курильский городской округ,"145.864981514000078","44.069309586000031","40",./0.png
142.79820981,47.3241352900001,"122454",город Долинск,Сахалинская область,Долинский городской округ,"142.798209810000117","47.324135290000072","11851",./4.png
142.020908755,47.3085744970001,"122455",село Костромское,Сахалинская область,Холмский городской округ,"142.020908755000050","47.308574497000052","1680",./1.png
142.630148866,47.3217610990001,"122456",село Углезаводск,Сахалинская область,Долинский городской округ,"142.630148866000013","47.321761099000071","1630",./1.png
142.561281384,47.3197460430001,"122457",село Быков,Сахалинская область,Долинский городской округ,"142.561281384000040","47.319746043000066","4101",./1.png
141.85380007,46.431795003,"122458",село Шебунино,Сахалинская область,Невельский городской округ,"141.853800070000034","46.431795003000047","1130",./1.png
143.060460784,52.3402097310001,"122459",село Вал,Сахалинская область,городской округ Ногликский,"143.060460784000043","52.340209731000073","897",./2.png
142.955475381,53.3880493440001,"122460",село Тунгор,Сахалинская область,городской округ Охинский,"142.955475381000042","53.388049344000081","696",./2.png
142.537877438,46.743257644,"122461",село Воскресенское,Сахалинская область,Анивский городской округ,"142.537877438000010","46.743257644000039","280",./2.png
142.497151239,46.7853866240001,"122462",село Петропавловское,Сахалинская область,Анивский городской округ,"142.497151239000118","46.785386624000068","403",./2.png
