Кратк,Субъе,Вид д�,Широт,Долго,Насел,Регио,Округ,icon_url
ГБУЗ КО ПКВД,Кемеровская область,Больница (в том числе детская),"53.874382","86.65462",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ КО ОКОХБВЛ,Кемеровская область,Больница (в том числе детская),"53.912563","86.74387",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
"ГАУЗ КО ""ПГБ №4""",Кемеровская область,Больница (в том числе детская),"53.87099","86.75783",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО ОТ ППАБ,Кемеровская область,Бюро,"53.89826","86.642746",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ ПГССМП,Кемеровская область,Медицинские организации скорой медицинской помощи и переливания крови,"53.877167","86.646774",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
"ГАУЗ КО ""Прокопьевская городская больница №1""",Кемеровская область,Больница (в том числе детская),"53.898045","86.64257",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
"ГАУЗ КО ""Прокопьевская ГБ №3""",Кемеровская область,Больница (в том числе детская),"53.87726","86.75641",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ КО ПГДБ,Кемеровская область,Больница (в том числе детская),"53.863758","86.62528",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
"ГАУЗ КО ""ПГБ №2""",Кемеровская область,Больница (в том числе детская),"53.865376","86.6766",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
"НУЗ"" Узловая больница на станции г.Тайга ОАО ""РЖД""",Кемеровская область,Больница (в том числе детская),"56.06842","85.624916",Тайга,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ Таштагольская РБ,Кемеровская область,Больница (в том числе детская),"52.768948","87.89292",Таштагол,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО ЮКВД,Кемеровская область,Больница (в том числе детская),"55.72765","84.91128",Юрга,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""ЮГБ""",Кемеровская область,Больница (в том числе детская),"55.72061","84.92587",Юрга,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ ЮССМП,Кемеровская область,Медицинские организации скорой медицинской помощи и переливания крови,"55.721184","84.92559",Юрга,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Краснобродская ГБ""",Кемеровская область,Больница (в том числе детская),"54.162884","86.4518",Краснобродский,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Беловская районная больница""",Кемеровская область,Больница (в том числе детская),"54.430878","86.4348",Инской,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""Гурьевская районная больница""",Кемеровская область,Больница (в том числе детская),"54.283134","85.95552",Гурьевск,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ ИРБ,Кемеровская область,Больница (в том числе детская),"56.197754","86.62254",Ижморский,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ КО ККРБ,Кемеровская область,Больница (в том числе детская),"55.410576","86.12431",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Крапивинская РБ""",Кемеровская область,Больница (в том числе детская),"55.00354","86.951996",Зеленогорский,Кемеровская область,Сибирский федеральный округ,./0.png
"ГАУЗ ""ЛКРБ""",Кемеровская область,Больница (в том числе детская),"54.652946","86.19288",Ленинск-Кузнецкий,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО НРБ,Кемеровская область,Больница (в том числе детская),"53.759663","87.130974",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Прокопьевская районная больница""",Кемеровская область,Больница (в том числе детская),"53.91608","86.79879",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ ПРБ,Кемеровская область,Больница (в том числе детская),"54.900368","85.63633",Промышленная,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ Тисульская РБ,Кемеровская область,Больница (в том числе детская),"55.7606","88.31262",Тисуль,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Топкинская районная больница""",Кемеровская область,Больница (в том числе детская),"55.282795","85.63028",Топки,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Тяжинская районная больница""",Кемеровская область,Больница (в том числе детская),"56.10761","88.517166",Тяжинский,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""Чебулинская районная больница""",Кемеровская область,Больница (в том числе детская),"56.0391","87.62385",Верх-Чебула,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО ЮРБ,Кемеровская область,Больница (в том числе детская),"55.71168","84.87386",Юрга,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ Яйская РБ,Кемеровская область,Больница (в том числе детская),"56.213196","86.422356",Яя,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО ЯРБ,Кемеровская область,Больница (в том числе детская),"55.867264","85.38692",Яшкино,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""ТССМП""",Кемеровская область,Медицинские организации скорой медицинской помощи и переливания крови,"56.068073","85.63166",Тайга,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Беловская городская больница № 8""",Кемеровская область,Больница (в том числе детская),"54.408695","86.27376",Белово,Кемеровская область,Сибирский федеральный округ,./0.png
"ООО ""Медицинский центр ""Спас 03""",Кемеровская область,Больница (в том числе детская),"53.696114","88.04992",Междуреченск,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ КО КГДП №16,Кемеровская область,Больница (в том числе детская),"55.35885","86.165375",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
"ГАУЗ КО ""Центр здоровья ""Инской""",Кемеровская область,Больница (в том числе детская),"54.43238","86.44502",Инской,Кемеровская область,Сибирский федеральный округ,./0.png
Анжеро-Судженский филиал ГБУЗ КО КОКПТД,Кемеровская область,Больница (в том числе детская),"56.031857","86.02673",Анжеро-Судженск,Кемеровская область,Сибирский федеральный округ,./0.png
Мариинский филиал ГБУЗ КО КОКПТД,Кемеровская область,Больница (в том числе детская),"56.21847","87.73502",Мариинск,Кемеровская область,Сибирский федеральный округ,./0.png
Юргинский филиал ГБУЗ КО КОКПТД,Кемеровская область,Больница (в том числе детская),"55.72775","84.912315",Юрга,Кемеровская область,Сибирский федеральный округ,./0.png
Филиал Госпиталь ФКУЗ МСЧ МВД РФ по КО,Кемеровская область,Больница (в том числе детская),"56.214005","87.7176",Мариинск,Кемеровская область,Сибирский федеральный округ,./0.png
"НУЗ ""Узловая больница на ст.Белово ОАО ""РЖД""",Кемеровская область,Больница (в том числе детская),"54.40726","86.27095",Белово,Кемеровская область,Сибирский федеральный округ,./0.png
"ЧУЗ ""РЖД-Медицина"" г. Кемерово""",Кемеровская область,Больница (в том числе детская),"55.33716","86.06741",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
"ПАО ""Кокс""",Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.364296","86.039665",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
"ЧУЗ ""РЖД-Медицина"" г.Новокузнецк""",Кемеровская область,Больница (в том числе детская),"53.714054","87.12601",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
"ФКУЗ ""МСЧ МВД РОССИИ ПО КЕМЕРОВСКОЙ ОБЛАСТИ""",Кемеровская область,Больница (в том числе детская),"55.359943","86.075836",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ФКУЗ МСЧ 42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.399208","86.00506",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КГБ,Кемеровская область,Больница (в том числе детская),"54.006443","86.63047",Киселевск,Кемеровская область,Сибирский федеральный округ,./0.png
"ООО ""ЦЕНТР РЕАБИЛИТАЦИИ И ВОССТАНОВЛЕНИЯ""",Кемеровская область,Больница (в том числе детская),"55.36132","86.07365",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
